205	Fanboys	2009	2	tt0489049	13532	90	PG-13	0	6.6	32	243
206	Year One	2009	6	tt1045778	17610	97	PG-13	60000000	4.9	14	243
207	Nine	2009	12	tt0875034	10197	112	PG-13	80000000	5.8	39	41
209	The Young Victoria	2009	3	tt0962736	18320	105	PG	35000000	7.3	76	38
210	The Haunting in Connecticut	2009	3	tt0492044	18781	102	PG-13	10000000	5.9	17	22
211	The Men Who Stare at Goats	2009	10	tt1234548	10313	93	R	24000000	6.2	50	306
212	Duplicity	2009	3	tt1135487	16558	125	PG-13	60000000	6.1	66	307
213	The Box	2009	9	tt0362478	22825	115	PG-13	30000000	5.6	44	46
214	The Girl Who Played with Fire	2009	9	tt1216487	24253	130	R	4422952	7.2	69	308
215	Exam	2009	6	tt1258197	29917	101	Not Rated	600000	6.8	63	55
216	Notorious	2009	1	tt0472198	14410	122	R	0	6.7	52	216
217	Paul Blart: Mall Cop	2009	1	tt1114740	14560	91	PG	26000000	5.2	34	309
218	The Private Lives of Pippa Lee	2009	7	tt1134629	4475	98	R	0	6.4	69	2
219	Black Dynamite	2009	10	tt1190536	24804	90	R	2900000	7.4	83	6
220	Ice Age: Dawn of the Dinosaurs	2009	6	tt1080016	8355	94	PG	90000000	6.9	46	143
221	Fired Up!	2009	2	tt1083456	17927	90	PG-13	20000000	6.1	25	30
222	Saw VI	2009	10	tt1233227	22804	96	R	11000000	6.0	38	259
223	My Sister's Keeper	2009	6	tt1078588	10024	109	PG-13	30000000	7.4	48	17
224	Now & Later	2009	2	tt0865560	68335	99	Unrated	0	5.1	25	17
225	Whiteout	2009	9	tt0365929	22787	101	R	40000000	5.5	7	67
226	The Loved Ones	2009	9	tt1316536	46420	84	R	0	6.6	98	21
227	Fame	2009	1	tt1016075	28665	107	PG	0	5.1	24	189
228	I Am Love	2009	9	tt1226236	41110	120	R	3600000	7.0	81	15
230	Mother and Child	2009	11	tt1121977	37080	125	R	7000000	7.2	78	15
231	The White Ribbon	2009	10	tt1149362	37903	144	R	15238800	7.8	86	173
232	Sorority Row	2009	9	tt1232783	26688	101	R	12500000	5.1	25	259
233	A Christmas Carol	2009	11	tt1067106	17979	96	PG	200000000	6.8	52	36
234	Stan Helsing	2009	10	tt1185266	23988	90	R	108	3.6	14	34
235	I Love You Phillip Morris	2009	1	tt1045772	8952	98	R	13000000	6.6	71	2
236	Middle Men	2009	5	tt1251757	38842	105	R	22000000	6.8	40	241
237	The Girl Who Kicked the Hornet's Nest	2009	11	tt1343097	33613	147	R	4000000	7.3	54	67
238	Hotel for Dogs	2009	1	tt0785006	15189	100	PG	35000000	5.4	46	52
239	In the Loop	2009	1	tt1226774	19833	106	Not Rated	0	7.4	94	30
240	Blood and Bone	2009	2	tt0346631	22164	93	R	3700000	6.7	71	66
241	Aliens in the Attic	2009	7	tt0775552	20856	86	PG	45000000	5.4	33	311
244	Paper Man	2009	6	tt0437405	39414	110	R	0	6.6	\N	4
245	The Girlfriend Experience	2009	5	tt1103982	17680	77	R	1700000	5.5	67	17
246	Solomon Kane	2009	9	tt0970452	32985	104	R	45000000	6.1	67	74
247	The Soloist	2009	4	tt0821642	17332	109	PG-13	60000000	6.7	57	163
248	Nowhere Boy	2009	12	tt1266029	33511	98	R	0	7.1	80	17
249	The Bad Lieutenant: Port of Call - New Orleans	2009	5	tt1095217	11699	122	R	25000000	6.6	85	12
250	A Prophet	2009	8	tt1235166	21575	155	R	13000000	7.9	97	12
251	I Love You, Beth Cooper	2009	7	tt1032815	19840	102	PG-13	18000000	5.3	13	86
252	Cabin Fever 2: Spring Fever	2009	8	tt0961722	28739	87	R	5000000	4.3	16	21
253	Confessions of a Shopaholic	2009	2	tt1093908	20048	104	PG	40000000	5.9	25	86
254	Brooklyn's Finest	2009	1	tt1210042	26390	133	R	17000000	6.7	45	54
255	Tanner Hall	2009	9	tt1151410	71866	96	R	0	5.8	16	17
256	The Joneses	2010	4	tt1285309	41479	96	R	10000000	6.5	63	4
257	Thick as Thieves	2009	1	tt1112782	14979	104	R	25000000	6.0	20	19
258	The Secret of Kells	2009	2	tt0485601	26963	75	Not Rated	0	7.6	90	256
260	Old Dogs	2009	11	tt0976238	22949	88	PG	35000000	5.4	5	52
261	The Damned United	2009	3	tt1226271	21641	97	R	10000000	7.5	92	17
262	Echelon Conspiracy	2009	2	tt1124039	16325	105	PG-13	0	5.8	8	29
263	Tidal Wave	2009	6	tt1153040	33196	120	R	16000000	5.6	49	312
264	Astro Boy	2009	10	tt0375568	16577	94	PG	10000000	6.3	50	313
265	Observe and Report	2009	4	tt1197628	16991	87	R	0	5.8	51	241
266	G-Force	2009	7	tt0436339	19585	88	PG	150000000	5.1	22	292
267	Deep in the Valley	2009	8	tt1078885	21862	87	R	0	4.4	25	30
268	S. Darko	2009	4	tt1231277	17532	103	R	4000000	3.6	13	314
269	I Killed My Mother	2009	6	tt1424797	26280	96	Not Rated	0	7.5	83	17
270	Night of the Demons	2009	8	tt1268809	27646	93	R	10000000	4.7	33	21
272	Ondine	2009	9	tt1235796	38448	111	PG-13	12000000	6.8	68	15
273	Women in Trouble	2009	11	tt1247704	31723	92	R	3000000	5.7	29	4
274	The Devil's Tomb	2009	5	tt1147687	17577	90	R	10000000	3.7	10	35
275	Harry Brown	2009	11	tt1289406	25941	103	R	7300000	7.2	63	204
276	Sin Nombre	2009	3	tt1127715	21191	96	R	0	7.6	88	204
277	Street Fighter: The Legend of Chun-Li	2009	2	tt0891592	15268	97	PG-13	50000000	3.7	5	284
278	Trash Humpers	2009	9	tt1488163	46788	78	Not Rated	0	5.1	59	50
279	All About Steve	2009	3	tt0881891	23706	99	PG-13	15000000	4.8	6	30
281	Crossing Over	2009	2	tt0924129	15577	113	R	25000000	6.7	16	12
282	Bright Star	2009	11	tt0810784	29963	119	PG	10000000	6.9	83	15
283	About Elly	2009	6	tt1360860	37181	119	TV-PG	0	8.0	99	17
284	Love Happens	2009	9	tt0899106	25643	109	PG-13	18000000	5.7	16	15
285	The Rebound	2009	9	tt1205535	24122	95	R	0	6.3	41	86
286	Bitch Slap	2009	5	tt1212974	26715	109	R	0	4.4	29	315
287	Youth in Revolt	2009	9	tt0403702	22327	87	R	18000000	6.4	66	2
288	Planet 51	2009	11	tt0762125	16866	91	PG	70000000	6.0	23	316
289	The New Daughter	2009	12	tt0951335	37534	108	PG-13	0	5.3	33	22
290	Bandslam	2009	8	tt0976222	23367	111	PG	20000000	6.3	82	300
291	The Messenger	2009	11	tt0790712	28089	113	R	6500000	7.1	90	17
